territoriality;year;pm10_concentration;pm10_tempcov;pm25_concentration;pm25_tempcov;no2_concentration;no2_tempcov;type_of_stations;number_of_stations;population;latitude;longitude;who_ms;Air_quality_category
"Eur@GBR;UK*Edinburgh";2010;14,213;95,5;9,488;94,0;27,358;99,0;Somewhere;1,0;536775,0;55,9624772499999;-3,31434775;1,0;Safety
"Eur@DEU;Germany*Edertal";2010;14,897;98,0;16,206;93,5;7,948;99,0;Somewhere;1,0;6548,0;51,154842;9,031753;1,0;Safety
"Eur@FRA;France*Echirolles";2010;36,18;85,0;22,924;93,0;49,087;98,0;Somewhere;1,0;35995,0;45,1583639999999;5,70376399999999;1,0;Safety
"Eur@GRC;Greece*Echedoro";2010;28,0885;92,5;22,924;93,0;18,476;75,0;Somewhere;1,0;9289,0;40,657845;22,8023659999999;1,0;Safety
"Eur@DEU;Germany*Eggenstein Leopoldshafen";2010;19,997;100,0;22,924;93,0;24,739;95,0;Somewhere;1,0;15611,0;49,0765499999999;8,40666;1,0;Safety
"Amr@MEX;Mexico*Ecatepec De Morelos";2010;71,178;87,0;22,021;79,0;28,72;1,0;Somewhere;1,0;1655015,0;19,5294815;-99,056362;1,0;Safety
"Eur@DEU;Germany*Eberswalde";2010;31,396;100,0;22,407;100,0;27,621;98,0;Somewhere;1,0;39166,0;52,8324659999999;13,8222109999999;1,0;Safety
"Eur@GBR;UK*Eastbourne";2010;25,507;100,0;13,414;94,0;19,607;95,0;Somewhere;1,0;91613,0;50,805779;0,271610999999999;1,0;Safety
"Eur@POL;Poland*Dzierzoniow";2010;31,355;88,5;22,739;88,0;19,71;94,0;Somewhere;1,0;34952,0;50,7328169999999;16,64805;1,0;Safety
"Eur@POL;Poland*Dzialoszyn";2010;30,537;98,0;22,739;88,0;12,824;96,0;Somewhere;1,0;6316,0;50,972169;14,941297;1,0;Safety
"Eur@ESP;Spain*Telde";2010;18,099;91,0;7,838;88,0;10,194;89,0;Somewhere;1,0;102076,0;28,0141221999999;-15,413437;1,0;Safety
"Eur@TUR;Turkiye*Duzce";2010;81,502;98,0;7,838;88,0;13,552;88,0;Somewhere;1,0;148061,0;40,845554;31,148056;1,0;Safety
"Eur@POL;Poland*Tczew";2010;23,762;96,0;7,838;88,0;16,91;87,0;Somewhere;1,0;60889,0;54,0858309999999;18,7877769999999;1,0;Safety
"Eur@NLD;Netherlands*Eibergen";2010;27,022;87,0;7,838;88,0;17,317;99,0;Somewhere;1,0;9590,0;52,0925;6,60583899999999;1,0;Safety
"Eur@TUR;Turkiye*Elazig";2010;86,665;90,0;7,838;88,0;19,887;99,0;Somewhere;1,0;408388,0;38,675556;39,211945;1,0;Safety
"Eur@ESP;Spain*El Ejido";2010;30,303;98,0;9,95;88,0;16,038;98,0;Somewhere;1,0;68915,0;36,769719;-2,810969;1,0;Safety
"Eur@DEU;Germany*Tauberbischofsheim";2010;18,819;99,0;10,0665;88,0;14,832;95,0;Somewhere;1,0;12813,0;49,6348419999999;9,65791899999999;1,0;Safety
"Amr@USA;USA*El Centro CA";2010;19,345;96,0;8,533;88,0;17,0;93,0;Somewhere;1,0;44322,0;32,8155766666666;-115,528433333333;1,0;Safety
"Eur@ITA;Italy*Egna";2010;19,871;93,0;16,352;79,0;44,803;91,0;Somewhere;1,0;3474,0;46,3308329999999;11,275277;1,0;Safety
"Eur@FRA;France*Tavaux";2010;44,640499999999996;93,0;27,772;79,0;15,968;97,0;Somewhere;1,0;3957,0;47,042611;5,40089699999999;1,0;Safety
"Eur@ESP;Spain*Eivissa";2010;19,014;86,0;27,772;79,0;11,364;94,0;Somewhere;1,0;49693,0;38,9138889999999;1,42518499999999;1,0;Safety
"Eur@ITA;Italy*Tavazzano";2010;34,824;92,0;27,772;79,0;30,697;94,0;Somewhere;1,0;6099,0;45,329445;9,414721;1,0;Safety
"Eur@AUT;Austria*Eisenstadt";2010;25,542;96,0;27,772;79,0;20,133;94,0;Somewhere;1,0;13101,0;47,84;16,526674;1,0;Safety
"Eur@DEU;Germany*Eisenhuttenstadt";2010;26,712;100,0;22,231;100,0;14,06;97,0;Somewhere;1,0;28219,0;52,146267;14,638166;1,0;Safety
